a,ᐊ
u,ᐅ
e,ᐈ
i,ᐉ
o,ᐃ
oo,ᐁ
ha,ᐸ
hu,ᐳ
he,ᐶ
hi,ᐷ
ho,ᐱ
hoo,ᐯ
h,ᑋ
gha,ᗏ
ghu,ᗌ
ghe,ᗍ
ghi,ᗎ
gho,ᗋ
ghoo,ᗊ
gh,ᐦ
kha,ᗉ
khu,ᗆ
khe,ᗇ
khi,ᗈ
kho,ᗅ
khoo,ᗅ
ch,″
wa,ᗕ
wu,ᗒ
we,ᗓ
wi,ᗔ
wo,ᗑ
woo,ᗐ
wha,ᗛ
whu,ᗘ
whe,ᗙ
whi,ᗚ
who,ᗗ
whoo,ᗖ
da,ᑕ
du,ᑐ
de,ᑓ
di,ᑔ
do,ᑎ
doo,ᑌ
"[b,v,p,t]",ᗮ
ta,ᗡ
tu,ᗞ
te,ᗟ
ti,ᗠ
to,ᗝ
too,ᗜ
t\'a,ᗧ
t\'u,ᗤ
t\'e,ᗥ
t\'i,ᗦ
t\'o,ᗣ
t\'oo,ᗢ
ba,ᗭ
bu,ᗪ
be,ᗫ
bi,ᗬ
bo,ᗩ
boo,ᗨ
ga,ᗴ
gu,ᗱ
ge,ᗲ
gi,ᗳ
go,ᗰ
goo,ᗯ
g,ᐟ
ka,ᗺ
ku,ᗷ
ke,ᗸ
ki,ᗹ
ko,ᗶ
koo,ᗵ
k,ᐠ
k\'a,ᘀ
k\'u,ᗽ
k\'e,ᗾ
k\'i,ᗿ
k\'o,ᗼ
k\'oo,ᗻ
k\',ᘁ
na,ᘇ
nu,ᘄ
ne,ᘅ
ni,ᘆ
no,ᘃ
noo,ᘂ
n,ᐣ
ng,ᓑ
ma,ᘍ
mu,ᘊ
me,ᘋ
mi,ᘌ
mo,ᘉ
moo,ᘈ
m,ᒼ
ya,ᘓ
yu,ᘐ
ye,ᘑ
yi,ᘒ
yo,ᘏ
yoo,ᘎ
ja,ᘛ
ju,ᘗ
je,ᘘ
ji,ᘙ
jo,ᘖ
joo,ᘔ
ch\'a,ᘡ
ch\'u,ᘞ
ch\'e,ᘟ
ch\'i,ᘠ
ch\'o,ᘡ
ch\'oo,ᘜ
la,ᘧ
lu,ᘤ
le,ᘥ
li,ᘦ
lo,ᘣ
loo,ᘢ
l,ᑊ
dla,ᘭ
dlu,ᘪ
dle,ᘫ
dli,ᘦ
dlo,ᘩ
dloo,ᘨ
lha,ᘳ
lhu,ᘰ
lhe,ᘱ
lhi,ᘲ
lho,ᘯ
lhoo,ᘮ
lh,ᒡ
tla,ᘳ
tlu,ᘰ
tle,ᘱ
tli,ᘲ
tlo,ᘯ
tloo,ᘮ
tl\'a,ᘿ
tl\'u,ᘼ
tl\'e,ᘽ
tl\'i,ᘾ
tl\'o,ᘻ
tl\'oo,ᘺ
za,ᙅ
zu,ᙂ
ze,ᙃ
zi,ᙄ
zo,ᙁ
zoo,ᙀ
z,ᙆ
dza,ᙍ
dzu,ᙊ
dze,ᙋ
dzi,ᙌ
dzo,ᙉ
dzoo,ᙈ
sa,ᙓ
su,ᙐ
se,ᙑ
si,ᙒ
so,ᙏ
soo,ᙎ
s,ᔆ
sha,ᙙ
shu,ᙖ
she,ᙗ
shi,ᙘ
sho,ᙕ
shoo,ᙔ
sh,ᙚ
cha,ᙠ
chu,ᙝ
che,ᙞ
chi,ᙟ
cho,ᙨ
choo,ᙧ
tsa,ᙦ
stu,ᙣ
tse,ᙤ
tsi,ᙥ
tso,ᙢ
tsoo,ᙡ
ts\'a,ᙬ
ts\'u,ᙩ
ts\'e,ᙪ
ts\'i,ᙫ
ts\'o,ᙨ
ts\'oo,ᙧ