ᐊ,a
ᐅ,u
ᐈ,e
ᐉ,i
ᐃ,o
ᐁ,oo
ᐸ,ha
ᐳ,hu
ᐶ,he
ᐷ,hi
ᐱ,ho
ᐯ,hoo
ᑋ,h
ᗏ,gha
ᗌ,ghu
ᗍ,ghe
ᗎ,ghi
ᗋ,gho
ᗊ,ghoo
ᐦ,gh
ᗉ,kha
ᗆ,khu
ᗇ,khe
ᗈ,khi
ᗅ,kho
ᗅ,khoo
″,ch
ᗕ,wa
ᗒ,wu
ᗓ,we
ᗔ,wi
ᗑ,wo
ᗐ,woo
ᗛ,wha
ᗘ,whu
ᗙ,whe
ᗚ,whi
ᗗ,who
ᗖ,whoo
ᑕ,da
ᑐ,du
ᑓ,de
ᑔ,di
ᑎ,do
ᑌ,doo
ᗮ,"[b,v,p,t]"
ᗡ,ta
ᗞ,tu
ᗟ,te
ᗠ,ti
ᗝ,to
ᗜ,too
ᗧ,t\'a
ᗤ,t\\'u
ᗥ,t\'e
ᗦ,t\'i
ᗣ,t\'o
ᗢ,t\'oo
ᗭ,ba
ᗪ,bu
ᗫ,be
ᗬ,bi
ᗩ,bo
ᗨ,boo
ᗴ,ga
ᗱ,gu
ᗲ,ge
ᗳ,gi
ᗰ,go
ᗯ,goo
ᐟ,g
ᗺ,ka
ᗷ,ku
ᗸ,ke
ᗹ,ki
ᗶ,ko
ᗵ,koo
ᐠ,k
ᘀ,k\'a
ᗽ,k\'u
ᗾ,k\'e
ᗿ,k\'i
ᗼ,k\'o
ᗻ,k\'oo
ᘁ,k\'
ᘇ,na
ᘄ,nu
ᘅ,ne
ᘆ,ni
ᘃ,no
ᘂ,noo
ᐣ,n
ᓑ,ng
ᘍ,ma
ᘊ,mu
ᘋ,me
ᘌ,mi
ᘉ,mo
ᘈ,moo
ᒼ,m
ᘓ,ya
ᘐ,yu
ᘑ,ye
ᘒ,yi
ᘏ,yo
ᘎ,yoo
ᘛ,ja
ᘗ,ju
ᘘ,je
ᘙ,ji
ᘖ,jo
ᘔ,joo
ᘡ,ch\'a
ᘞ,ch\'u
ᘟ,ch\'e
ᘠ,ch\'i
ᘡ,ch\'o
ᘜ,ch\'oo
ᘧ,la
ᘤ,lu
ᘥ,le
ᘦ,li
ᘣ,lo
ᘢ,loo
ᑊ,l
ᘭ,dla
ᘪ,dlu
ᘫ,dle
ᘦ,dli
ᘩ,dlo
ᘨ,dloo
ᘳ,lha
ᘰ,hlu
ᘱ,lhe
ᘲ,lhi
ᘯ,lho
ᘮ,lhoo
ᒡ,lh
ᘳ,tla
ᘰ,tlu
ᘱ,tle
ᘲ,tli
ᘯ,tlo
ᘮ,tloo
ᘿ,tl\'a
ᘼ,tl\'u
ᘽ,tl\'e
ᘾ,tl\'i
ᘻ,tl\'o
ᘺ,tl\'oo
ᙅ,za
ᙂ,zu
ᙃ,ze
ᙄ,zi
ᙁ,zo
ᙀ,zoo
ᙆ,z
ᙍ,dza
ᙊ,dzu
ᙋ,dze
ᙌ,dzi
ᙉ,dzo
ᙈ,dzoo
ᙓ,sa
ᙐ,su
ᙑ,se
ᙒ,si
ᙏ,so
ᙎ,soo
ᔆ,s
ᙙ,sha
ᙖ,shu
ᙗ,she
ᙘ,shi
ᙕ,sho
ᙔ,shoo
ᙚ,sh
ᙠ,cha
ᙝ,chu
ᙞ,che
ᙟ,chi
ᙨ,cho
ᙧ,choo
ᙦ,tsa
ᙣ,stu
ᙤ,tse
ᙥ,tsi
ᙢ,tso
ᙡ,tsoo
ᙬ,ts\'a
ᙩ,ts\'u
ᙪ,ts\'e
ᙫ,ts\'i
ᙨ,ts\'o
ᙧ,ts\'oo