\?{1},ʔ{1}
'{1}l{2},l{2}\u02C0{1}
'{1}m{2},m{2}\u02C0{1}
\?{1}m{2},ʔ{1}m{2}
'{1}n{2},n{2}\u02C0{1}
\?{1}n{2},ʔ{1}n{2}
\?{1}w{2},ʔ{1}w{2}
'{1}w{2},w{2}\u02C0{1}
\?{1}y{2},ʔ{1}j{2}
'{1}y{2},j{2}\u02C0{1}
\?{1}i{2},ʔ{1}i{2}
\?{1}\u2071{2},ʔ{1}\u2071{2}
a{1},æ{1}
a{1}a{2},æ{1}ː{2}
E{1},ɛ{1}
e{1}e{2},e{1}ː{2}
ɡ{1}\u0332{2}\u0323{3},ʁ{1}
g{1}\u0323{2},ɢ{1}
ɡ{1}ʸ{2},ɟ{1}
ɫ{1},ɬ{1}
i{1}i{2},i{1}ː{2}
j{1},ʣ{1}
k{1}'{2},k{1}\u02C0{2}
\?{1}k{2},ʔ{1}k{2}
\?{1}g{2}\u0323{3},ʔ{1}ɢ{2}
\?{1}q{2},ʔ{1}q{2}
\?{1}q{2}ʰ{3},ʔ{1}q{2}ʰ{3}
q{1}'{2},q{1}\u02C0{2}
\?{1}g{2}ʸ{3},ʔ{1}ɟ{2}
\?{1}k{2}ʷ{3},ʔ{1}k{2}ʷ{3}
\?{1}k{2}ʷ{3}ʰ{4},ʔ{1}k{2}ʷ{3}ʰ{4}
k{1}ʷ{2}'{3},k{1}ʷ{2}\u02C0{3}
\?{1}ɡ{2}ʷ{3},ʔ{1}ɡ{2}ʷ{3}
o{1}o{2},o{1}ː{2}
\?{1}p{2}ʰ{3},ʔ{1}p{2}ʰ{3}
\?{1}p{2},ʔ{1}p{2}
p{1}'{2},p{1}\u02C0{2}
\?{1}b{2},ʔ{1}b{2}
\?{1}t{2},ʔ{1}t{2}
\?{1}t{2}ʰ{3},ʔ{1}t{2}ʰ{3}
t{1}'{2},t{1}\u02C0{2}
\?{1}d{2},ʔ{1}d{2}
\?{1}t{2}\u0361{4}ɬ{3},ʔ{1}t{2}\u0361{4}ɬ{3}
Ƚ{1}'{2},t{1}\u0361{4}ɬ{3}\u02C0{2}
c{1}ʰ{2},ʦ{1}ʰ{2}
c{1},ʦ{1}
\?{1}c{2},ʔ{1}ʦ{2}
c{1}'{2},ʦ{1}\u02C0{2}
\?{1}c{2}ʰ{3},ʔ{1}ʦ{2}ʰ{3}
o{1}\u0323{2},ʊ{1}\u031E{2}
u{1}u{2},u{1}ː{2}
x{1}\u0323{2},χ{1}
y{1},j{1}
A{1},a{1}|ʌ{1}
A{1}A{2},a{1}ː{2}|ʌ{1}ː{2}
I{1},i{1}|ɨ{1}