l{1}\u0313{2},l{1}\u02C0{2}
l{1}\u0313{2},ʔ{2}l{1}
m{1}\u0313{2},m{1}\u02C0{2}
m{1}\u0313{2},ʔ{2}m{1}
n{1}\u0313{2},n{1}\u02C0{2}
n{1}\u0313{2},ʔ{2}n{1}
w{1}\u0313{2},w{1}\u02C0{2}
w{1}\u0313{2},ʔ{2}w{1}
ʔ{1}y{2},ʔ{1}j{2}
y{1}\u0313{2},j{1}\u02C0{2}
\?{1}\u2071{2},ʔ{1}\u2071{2}
ʒ{1},ʣ{1}
k{1}\u0313{2},k{1}\u02C0{2}
k{1}\u0313{2},ʔ{2}k{1}
q{1}\u0313{2},q{1}\u02C0{2}
q{1}\u0313{2},ʔ{2}q{1}
k{1}\u0313{2}ʷ{3},k{1}ʷ{3}\u02C0{2}
p{1}\u0313{2},p{1}\u02C0{2}
p{1}\u0313{2},ʔ{2}p{1}
t{1}\u0313{2},t{1}\u02C0{2}
t{1}\u0313{2},ʔ{2}t{1}
ʔ{1}ƛ{2},ʔ{1}t{2}\u0361{4}ɬ{3}
ƛ{1}\u0313{2},t{1}\u0361{4}ɬ{3}\u02C0{2}
c{1}ʰ{2},ʦ{1}ʰ{2}
c{1},ʦ{1}
ʔ{1}c{2},ʔ{1}ʦ{2}
c{1}\u0313{2},ʦ{1}\u02C0{2}
ʔ{1}c{2}ʰ{3},ʔ{1}ʦ{2}ʰ{3}
x{1}\u0323{2},χ{1}
y{1},j{1}
ɣ{1},ʁ{1}
a,æ
a{1}ː{2},æ{1}ː{2}
g{1}\u0323{2},ɢ{1
g{1}\u0307{2},ɢ{1}
g{1}ʸ{2},ɟ{1}
g{1}\u0302{3},ɟ{1}
ʔ{1}ɡ{2},ʔ{1}ɢ{2}
ʔ{1}g{2}\u0307{3},ʔ{1}ɢ{2}
ʔ{1}ɡ{2}ʸ{3},ʔ{1}ɟ{2}
ʔ{1}g{2}\u0302{3},ʔ{1}ɟ{2}